pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url	category
2025-01-04	Peabiru Paths DTW: desmistificando os caminhos para o alinhamento geometrico, fisico e consistente entre sismica e poco	X Simposio de Quantificacao em Geociencias		"Araújo, Marcelus Glaucus de Souza, et al. ""Peabiru Paths DTW: desmistificando os caminhos para o alinhamento geométrico, físico e consistente entre sísmica e poço."" X Simpósio de Quantificação em Geociências (2025)."	Conf.2025.5	https://www.geoquantificacao.com.br/assets/files/ANAIS-DERESUMO-XGEOQUANTI-2025.pdf		conferences
2025-01-03	FCKAN: Evaluating KAN for Time Series Classification and Extrinsic Regression	Encontro Nacional de Inteligencia Artificial e Computacional (ENIAC)		"da Costa Merlin, Gabriel, Adilson Junior Alves Medronha, and Diego Furtado Silva. ""FCKAN: Evaluating KAN for Time Series Classification and Extrinsic Regression."" Encontro Nacional de Inteligência Artificial e Computacional (ENIAC). SBC, 2025."	Conf.2025.6	https://sol.sbc.org.br/index.php/eniac/article/view/38846		conferences
2025-01-02	Multimodal Fusion Strategies for Multivariate Time Series Classification	Encontro Nacional de Inteligencia Artificial e Computacional (ENIAC)		"Bastos, Samuel Thomaz, Rafael da Costa Silva, and Diego Furtado Silva. ""Multimodal Fusion Strategies for Multivariate Time Series Classification."" Encontro Nacional de Inteligência Artificial e Computacional (ENIAC). SBC, 2025."	Conf.2025.7	https://sol.sbc.org.br/index.php/eniac/article/view/38804		conferences
2025-01-01	Fine-Tuning a Pretrained ECG Foundation Model for Chagas Disease Detection	Computing in Cardiology		"Long, Yongchao, et al. ""Fine-Tuning a Pretrained ECG Foundation Model for Chagas Disease Detection."" Computing in Cardiology, 2025"	Conf.2025.8	https://cinc.org/archives/2025/pdf/CinC2025-259.pdf		conferences
2024-01-04	Semi-periodic activation for time series classification.	Brazilian Conference on Intelligent Systems		"de Medeiros Júnior, José Gilberto Barbosa, Andre Guarnier de Mitri, and Diego Furtado Silva. ""Semi-periodic activation for time series classification."" Brazilian Conference on Intelligent Systems. Cham: Springer Nature Switzerland, 2024."	Conf.2024.2	https://link.springer.com/chapter/10.1007/978-3-031-79038-6_6		conferences
2024-01-03	Tackling Low-Resource ECG Classification with Self-supervised Learning.	Brazilian Conference on Intelligent Systems		"da Costa Silva, Rafael, and Diego Furtado Silva. ""Tackling Low-Resource ECG Classification with Self-supervised Learning."" Brazilian Conference on Intelligent Systems. Cham: Springer Nature Switzerland, 2024."	Conf.2024.3	https://link.springer.com/chapter/10.1007/978-3-031-79038-6_17		conferences
2024-01-02	Evaluating Sentiment Quantification Methods in Brazilian Portuguese Corpora.	Brazilian Conference on Intelligent Systems		"dos Santos Silva, Lucas Nildaimon, Diego Furtado Silva, and Helena de Medeiros Caseli. ""Evaluating Sentiment Quantification Methods in Brazilian Portuguese Corpora."" Brazilian Conference on Intelligent Systems. Cham: Springer Nature Switzerland, 2024."	Conf.2024.4	https://link.springer.com/chapter/10.1007/978-3-031-79035-5_16		conferences
2024-01-05	Machine Learning Techniques for Improving Multiclass Anomaly Detection on Conveyor Belts.	Proceedings of the International Instrumentation and Measurement Technology Conference		"Matos, S. N., et al. ""Machine Learning Techniques for Improving Multiclass Anomaly Detection on Conveyor Belts."" Proceedings of the International Instrumentation and Measurement Technology Conference, 2024."	Conf.2024.1	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10561167		conferences
2023-01-01	A New Time Series Framework For Forest Fire Risk Forecasting And Classification.	Proceedings of the International Joint Conference On Neural Networks		"Santos, B. Z., et al. ""A New Time Series Framework For Forest Fire Risk Forecasting And Classification."" Proceedings of the International Joint Conference On Neural Networks, 2023, pp. 1-8."	Conf.2023.1	https://diegofurts.github.io/files/Conf.2023.1		conferences
2023-01-01	Hemoglobin Estimation From Smartphone-based Photoplethysmography With Small Data.	Proceedings of the 36th International Symposium On Computerbased Medical Systems		"Silva, D. F., et al. ""Hemoglobin Estimation From Smartphone-based Photoplethysmography With Small Data."" Proceedings of the 36th International Symposium On Computerbased Medical Systems, 2023, pp. 75-78."	Conf.2023.2	https://diegofurts.github.io/files/Conf.2023.2		conferences
